date,regime,posture,confidence,risk_score,composite,growth,liquidity,breadth,credit,volatility_safety,payload,recorded_at
2016-07-22,Late-Cycle Risk-On,Moderately invested,69.0,30.0,70.0,50.0,50.0,50.0,100.0,100.0,"{""regime"": ""Late-Cycle Risk-On"", ""posture"": ""Moderately invested"", ""confidence"": 69.0, ""risk_score"": 30.0, ""composite"": 70.0, ""components"": {""Growth"": 50.0, ""Liquidity"": 50.0, ""Breadth"": 50.0, ""Credit"": 100.0, ""Volatility safety"": 100.0}}",2026-07-22T16:01:53.299479+00:00
2016-07-29,Late-Cycle Risk-On,Moderately invested,69.0,30.0,70.0,50.0,50.0,50.0,100.0,100.0,"{""regime"": ""Late-Cycle Risk-On"", ""posture"": ""Moderately invested"", ""confidence"": 69.0, ""risk_score"": 30.0, ""composite"": 70.0, ""components"": {""Growth"": 50.0, ""Liquidity"": 50.0, ""Breadth"": 50.0, ""Credit"": 100.0, ""Volatility safety"": 100.0}}",2026-07-22T16:01:53.327996+00:00
2016-08-05,Late-Cycle Risk-On,Moderately invested,69.0,30.0,70.0,50.0,50.0,50.0,100.0,100.0,"{""regime"": ""Late-Cycle Risk-On"", ""posture"": ""Moderately invested"", ""confidence"": 69.0, ""risk_score"": 30.0, ""composite"": 70.0, ""components"": {""Growth"": 50.0, ""Liquidity"": 50.0, ""Breadth"": 50.0, ""Credit"": 100.0, ""Volatility safety"": 100.0}}",2026-07-22T16:01:53.350316+00:00
2016-08-12,Late-Cycle Risk-On,Moderately invested,69.0,30.0,70.0,50.0,50.0,50.0,100.0,100.0,"{""regime"": ""Late-Cycle Risk-On"", ""posture"": ""Moderately invested"", ""confidence"": 69.0, ""risk_score"": 30.0, ""composite"": 70.0, ""components"": {""Growth"": 50.0, ""Liquidity"": 50.0, ""Breadth"": 50.0, ""Credit"": 100.0, ""Volatility safety"": 100.0}}",2026-07-22T16:01:53.381912+00:00
2016-08-19,Late-Cycle Risk-On,Moderately invested,63.5,37.9,62.1,50.0,46.1,57.6,81.2,75.7,"{""regime"": ""Late-Cycle Risk-On"", ""posture"": ""Moderately invested"", ""confidence"": 63.5, ""risk_score"": 37.9, ""composite"": 62.1, ""components"": {""Growth"": 50.0, ""Liquidity"": 46.1, ""Breadth"": 57.6, ""Credit"": 81.2, ""Volatility safety"": 75.7}}",2026-07-22T16:01:53.409824+00:00
2016-08-26,Mixed / Transition,Balanced,63.4,38.0,62.0,50.0,46.3,54.5,82.2,76.9,"{""regime"": ""Mixed / Transition"", ""posture"": ""Balanced"", ""confidence"": 63.4, ""risk_score"": 38.0, ""composite"": 62.0, ""components"": {""Growth"": 50.0, ""Liquidity"": 46.3, ""Breadth"": 54.5, ""Credit"": 82.2, ""Volatility safety"": 76.9}}",2026-07-22T16:01:53.437623+00:00
2016-09-02,Late-Cycle Risk-On,Moderately invested,63.9,37.3,62.7,50.0,46.5,56.2,82.9,77.9,"{""regime"": ""Late-Cycle Risk-On"", ""posture"": ""Moderately invested"", ""confidence"": 63.9, ""risk_score"": 37.3, ""composite"": 62.7, ""components"": {""Growth"": 50.0, ""Liquidity"": 46.5, ""Breadth"": 56.2, ""Credit"": 82.9, ""Volatility safety"": 77.9}}",2026-07-22T16:01:53.465125+00:00
2016-09-09,Mixed / Transition,Balanced,60.6,42.1,57.9,50.0,45.6,43.1,78.6,72.3,"{""regime"": ""Mixed / Transition"", ""posture"": ""Balanced"", ""confidence"": 60.6, ""risk_score"": 42.1, ""composite"": 57.9, ""components"": {""Growth"": 50.0, ""Liquidity"": 45.6, ""Breadth"": 43.1, ""Credit"": 78.6, ""Volatility safety"": 72.3}}",2026-07-22T16:01:53.492334+00:00
2016-09-16,Mixed / Transition,Balanced,60.7,41.9,58.1,50.0,45.2,48.8,76.7,69.9,"{""regime"": ""Mixed / Transition"", ""posture"": ""Balanced"", ""confidence"": 60.7, ""risk_score"": 41.9, ""composite"": 58.1, ""components"": {""Growth"": 50.0, ""Liquidity"": 45.2, ""Breadth"": 48.8, ""Credit"": 76.7, ""Volatility safety"": 69.9}}",2026-07-22T16:01:53.520125+00:00
2016-09-23,Mixed / Transition,Balanced,61.4,40.9,59.1,50.0,45.3,53.1,77.0,70.2,"{""regime"": ""Mixed / Transition"", ""posture"": ""Balanced"", ""confidence"": 61.4, ""risk_score"": 40.9, ""composite"": 59.1, ""components"": {""Growth"": 50.0, ""Liquidity"": 45.3, ""Breadth"": 53.1, ""Credit"": 77.0, ""Volatility safety"": 70.2}}",2026-07-22T16:01:53.547986+00:00
2016-09-30,Mixed / Transition,Balanced,62.8,38.9,61.1,50.0,45.1,65.2,76.2,69.2,"{""regime"": ""Mixed / Transition"", ""posture"": ""Balanced"", ""confidence"": 62.8, ""risk_score"": 38.9, ""composite"": 61.1, ""components"": {""Growth"": 50.0, ""Liquidity"": 45.1, ""Breadth"": 65.2, ""Credit"": 76.2, ""Volatility safety"": 69.2}}",2026-07-22T16:01:53.576780+00:00
2016-10-07,Mixed / Transition,Balanced,62.6,39.1,60.9,50.0,45.2,62.6,76.8,70.0,"{""regime"": ""Mixed / Transition"", ""posture"": ""Balanced"", ""confidence"": 62.6, ""risk_score"": 39.1, ""composite"": 60.9, ""components"": {""Growth"": 50.0, ""Liquidity"": 45.2, ""Breadth"": 62.6, ""Credit"": 76.8, ""Volatility safety"": 70.0}}",2026-07-22T16:01:53.604917+00:00
2016-10-14,Mixed / Transition,Balanced,60.6,42.0,58.0,50.0,45.2,48.3,76.7,69.8,"{""regime"": ""Mixed / Transition"", ""posture"": ""Balanced"", ""confidence"": 60.6, ""risk_score"": 42.0, ""composite"": 58.0, ""components"": {""Growth"": 50.0, ""Liquidity"": 45.2, ""Breadth"": 48.3, ""Credit"": 76.7, ""Volatility safety"": 69.8}}",2026-07-22T16:01:53.633257+00:00
2016-10-21,Mixed / Transition,Balanced,62.9,38.7,61.3,56.9,49.6,50.9,78.8,70.4,"{""regime"": ""Mixed / Transition"", ""posture"": ""Balanced"", ""confidence"": 62.9, ""risk_score"": 38.7, ""composite"": 61.3, ""components"": {""Growth"": 56.9, ""Liquidity"": 49.6, ""Breadth"": 50.9, ""Credit"": 78.8, ""Volatility safety"": 70.4}}",2026-07-22T16:01:53.663285+00:00
